Full_name,driverId,nationality,Podium_count,Race_count,Podium_percentage,AVG_finish_position,rank_by_podium,rank_by_podium_percentage
Gunnar Nilsson,255,Swedish,4,32,0.13,7.07,3,2
Stefan Johansson,140,Swedish,12,103,0.12,6.09,2,3
Rudi Fischer,723,Swiss,2,7,0.29,7.67,3,1
Clay Regazzoni,223,Swiss,28,138,0.2,6,1,2
Jo Siffert,346,Swiss,6,100,0.06,7.13,2,3
Alexander Albon,848,Thai,2,94,0.02,10.49,1,1
Prince Bira,669,Thai,0,19,0.0,7.4,2,2
Azdrubal Fontes,568,Uruguayan,0,1,0.0,,1,1
Óscar González,806,Uruguayan,0,1,0.0,6,2,2
Alberto Uria,623,Uruguayan,0,2,0.0,6,3,3
Pastor Maldonado,813,Venezuelan,1,96,0.01,12.81,1,1
Ettore Chimeri,503,Venezuelan,0,1,0.0,,2,2
Johnny Cecotto,188,Venezuelan,0,23,0.0,10.29,3,3
